mu,j,result,std_dev,Q
-1,0.1,-0.004595291081330875,7.870579726959501e-06,0.7536821007883676
-1,1,0.000293801921212293,8.646961593846479e-07,0.8488486636490981
-1,1.5,0.0004106334155200364,2.719861141895678e-07,0.9677345093916425
-1,2,7.637895423365048e-05,1.273601877075071e-07,0.5087557796646586
-1,2.5,3.90814467890355e-05,7.724696612868739e-08,0.16698624411262894
-1,3,2.7456732973390156e-05,5.3033712601106584e-08,0.312289931789549
-1,4,1.5621629404569193e-05,2.9666884060387582e-08,0.9120747059809173
-1,5,1.0034119483915928e-05,1.8917781247833867e-08,0.8920450362693212
-1,6,7.019048718539625e-06,1.3128848258616406e-08,0.7601809283794759
0,0.1,-0.004084525499700506,1.3729409302334562e-05,0.7826290188044097
0,1,-0.00029146956739232435,8.352905200233851e-07,0.9354817151340847
0,1.5,7.121783480842422e-05,2.6574470362269633e-07,0.1975130228142615
0,2,6.122080866380595e-05,1.2439291468514362e-07,0.9878332444357094
0,2.5,3.9061896671931066e-05,7.715559183263583e-08,0.942121061370117
0,3,2.737537443990954e-05,5.310954143764675e-08,0.682429231341651
0,4,1.563535607808286e-05,2.9596229239183042e-08,0.21932196837847823
0,5,1.0076509603493254e-05,1.892907958366962e-08,0.7850523912804241
0,6,7.022784733993707e-06,1.3110075992083424e-08,0.6638817935008026
1,0.1,-0.002528210541319935,1.0167370056732936e-06,0.5251731741474974
1,1,-0.0005207878316588752,4.4740919415221886e-07,0.43625498908765825
1,1.5,-0.00016999664326314978,2.434968933057148e-07,0.06661152664988175
1,2,-2.9768190562045128e-05,1.351732884882149e-07,0.952522008302392
1,2.5,2.9015420188109573e-05,8.03692477170938e-08,0.8748932264727701
1,3,2.733830699402621e-05,5.3124430085943144e-08,0.17187105533025834
1,4,1.5577924101984174e-05,2.9604249644363e-08,0.1136100300897646
1,5,1.0078458362440284e-05,1.8901592547733546e-08,0.8010182577389945
1,6,7.014974516555968e-06,1.3159610306649814e-08,0.23985810226777182
