mu,j,result,std_dev,Q
-0.25,1.8,7.631758368422925e-05,1.5827975640509798e-07,0.8640184076987498
-0.25,1.8368421052631578,7.330159670730203e-05,1.5096799407044676e-07,0.5484256794230804
-0.25,1.8736842105263158,7.00858448199009e-05,1.4398283595726506e-07,0.5131197543119215
-0.25,1.9105263157894736,6.712266043898867e-05,1.379367587063696e-07,0.505994701240736
-0.25,1.9473684210526316,6.465130377002141e-05,1.3142511861167347e-07,0.08994761199526154
-0.25,1.9842105263157894,6.245736894020831e-05,1.2659901896437726e-07,0.8092286965581529
-0.25,2.0210526315789474,6.0145816369920064e-05,1.2137850513156205e-07,0.712519267326875
-0.25,2.057894736842105,5.778957357391161e-05,1.1670227236689312e-07,0.6213977084902008
-0.25,2.094736842105263,5.5728805668191096e-05,1.123319732193868e-07,0.6822535575949499
-0.25,2.1315789473684212,5.395681661657281e-05,1.0824871712090205e-07,0.8237256552511669
-0.25,2.168421052631579,5.2184584574570974e-05,1.0435058863818999e-07,0.47776402215580227
-0.25,2.205263157894737,5.030694676562194e-05,1.0067457807160594e-07,0.15547053378607656
-0.25,2.2421052631578946,4.8709824521590805e-05,9.687755688043891e-08,0.6805565377735443
-0.25,2.2789473684210524,4.702812105822989e-05,9.382526821732185e-08,0.24843794328201366
-0.25,2.3157894736842106,4.570885349111918e-05,9.06543087106643e-08,0.7136765679716744
-0.25,2.3526315789473684,4.416203020297323e-05,8.734751744185937e-08,0.9853468516308401
-0.25,2.389473684210526,4.2967865382878655e-05,8.507683703065951e-08,0.6544701491715272
-0.25,2.4263157894736844,4.176255113458375e-05,8.207104857614884e-08,0.18590616725649356
-0.25,2.463157894736842,4.040318592186809e-05,7.953360686526801e-08,0.29797031766172877
-0.25,2.5,3.92542838618844e-05,7.725824529384259e-08,0.08018584108332025
