idx,soc_value,component_index,mean,sdev,Q,is_sum,sum_mean,sum_sdev
0,[0.005 0.005 0.017],0,0.00029182786188805044,8.676652615723159e-07,0.3866455533108609,0,,
0,[0.005 0.005 0.017],1,0.0008861328476288973,2.593430783865756e-06,0.3866455533108609,0,,
0,[0.005 0.005 0.017],2,0.0005616096712175399,2.2764353947848427e-06,0.3866455533108609,0,,
0,[0.005 0.005 0.017],3,-6.0538435915073354e-05,5.748293400167223e-07,0.3866455533108609,0,,
0,[0.005 0.005 0.017],4,-0.0010206629741395222,2.457146583873686e-06,0.3866455533108609,0,,
0,[0.005 0.005 0.017],5,0.0001871392930201687,7.590922740291696e-07,0.3866455533108609,0,,
0,[0.005 0.005 0.017],6,-2.0205580563534253e-05,1.9190748104387244e-07,0.3866455533108609,0,,
0,[0.005 0.005 0.017],7,-0.0003401489696459337,8.190011459869766e-07,0.3866455533108609,0,,
0,[0.005 0.005 0.017],sum,0.000485153713490593,3.996295879991133e-06,0.3866455533108609,1,0.000485153713490593,3.996295879991133e-06
1,[0.01277778 0.01277778 0.04344444],0,0.0005542928183176784,1.527682895943944e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],1,0.0017277712257271437,4.52030604410747e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],2,0.001069198928155244,4.546327542172244e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],3,-0.00015156681455056326,1.259223675271863e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],4,-0.0020242718227549365,4.219679893388723e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],5,0.0003562389789566025,1.4996120418709031e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],6,-5.0423523309553394e-05,4.194144419788326e-07,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],7,-0.0006743760488288858,1.4174394107092556e-06,0.6041974758435716,0,,
1,[0.01277778 0.01277778 0.04344444],sum,0.0008068637417127293,8.328570055763399e-06,0.6041974758435716,1,0.0008068637417127293,8.328570055763399e-06
2,[0.02055556 0.02055556 0.06988889],0,0.0007399159216717244,2.0185288835289133e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],1,0.002369994696964702,5.902415777277206e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],2,0.0014329273101374104,6.240870049052013e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],3,-0.00024012732558386269,1.6471718810469335e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],4,-0.0027912293037909543,5.6158966424974305e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],5,0.0004766344219243862,2.0648874426306994e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],6,-7.965702960313399e-05,5.484724018137287e-07,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],7,-0.0009306676784538143,1.8820004629428511e-06,0.862298883066062,0,,
2,[0.02055556 0.02055556 0.06988889],sum,0.0009777910132664574,1.1147676734051626e-05,0.862298883066062,1,0.0009777910132664574,1.1147676734051626e-05
3,[0.02833333 0.02833333 0.09633333],0,0.0008753629125262445,2.47331914321743e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],1,0.002890368456453872,7.145909741765588e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],2,0.0016889685995991612,7.79088501749606e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],3,-0.0003302204442252073,2.0867504289156526e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],4,-0.0034011837565576315,6.784973480094088e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],5,0.0005619517992062866,2.5913218166363674e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],6,-0.00010918293424801136,6.937815032788238e-07,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],7,-0.0011318880746224807,2.2552861899233286e-06,0.6926457629267118,0,,
3,[0.02833333 0.02833333 0.09633333],sum,0.001044176558132234,1.406457258710469e-05,0.6926457629267118,1,0.001044176558132234,1.406457258710469e-05
4,[0.03611111 0.03611111 0.12277778],0,0.0009828375333472265,2.9000851814615884e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],1,0.0033446643351876227,8.32602959742998e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],2,0.0018811808927901553,9.514478471103484e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],3,-0.0004183264509246519,2.5307730532656024e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],4,-0.003918166868304683,7.936961249511632e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],5,0.0006251071832151271,3.160342387653528e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],6,-0.0001377347446836307,8.396267625577449e-07,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],7,-0.0013024394971167413,2.6337358855552745e-06,0.7174273219875684,0,,
4,[0.03611111 0.03611111 0.12277778],sum,0.0010571223835104246,1.6902185629215475e-05,0.7174273219875684,1,0.0010571223835104246,1.6902185629215475e-05
5,[0.04388889 0.04388889 0.14922222],0,0.0010556423896906702,3.2636877978182117e-06,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],1,0.0037021052967783634,9.285808813515339e-06,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],2,0.0020208458190905335,1.043609577822932e-05,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],3,-0.0005013841290310664,2.933600779335041e-06,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],4,-0.004328156026795989,9.033210537124955e-06,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],5,0.0006703964225820857,3.4600953196243634e-06,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],6,-0.00016428706620244817,9.703719719430945e-07,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],7,-0.0014366252232936893,2.9915949285883746e-06,0.7955749489446804,0,,
5,[0.04388889 0.04388889 0.14922222],sum,0.0010185374828184607,1.8953898862120128e-05,0.7955749489446804,1,0.0010185374828184607,1.8953898862120128e-05
6,[0.05166667 0.05166667 0.17566667],0,0.001129864091394381,3.6413480051499775e-06,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],1,0.004076171507017484,1.0238078302311144e-05,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],2,0.0021456591432058316,1.1651723235583624e-05,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],3,-0.000579507663282302,3.3337235807156144e-06,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],4,-0.004702572322153839,1.0040319312752616e-05,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],5,0.0007101845386122905,3.855985812165371e-06,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],6,-0.00018890125371091716,1.1007938728831234e-06,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],7,-0.0015578934594375434,3.3171223680682414e-06,0.3868654017845588,0,,
6,[0.05166667 0.05166667 0.17566667],sum,0.0010330045816453856,2.1218598790419865e-05,0.3868654017845588,1,0.0010330045816453856,2.1218598790419865e-05
7,[0.05944444 0.05944444 0.20211111],0,0.0011876608617577772,3.998990477017117e-06,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],1,0.0044057474326602165,1.1129457175796713e-05,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],2,0.0022457390473968495,1.2915594566150304e-05,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],3,-0.0006573338439027097,3.8102467351265897e-06,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],4,-0.0050340423736790225,1.1007104607456945e-05,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],5,0.0007412080431220549,4.264887297000197e-06,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],6,-0.00021306034265464996,1.2550565887479872e-06,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],7,-0.0016638019824905665,3.6264324220174516e-06,0.2216818545271248,0,,
7,[0.05944444 0.05944444 0.20211111],sum,0.0010121168422099495,2.366063881983713e-05,0.2216818545271248,1,0.0010121168422099495,2.366063881983713e-05
8,[0.06722222 0.06722222 0.22855556],0,0.001235018437725273,4.2603248341987425e-06,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],1,0.00470135253648826,1.1753086415257854e-05,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],2,0.0023423224496690125,1.4111804872071887e-05,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],3,-0.0007193418747309556,4.200940378645904e-06,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],4,-0.0053153443801305334,1.1899534032185087e-05,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],5,0.0007704168156842936,4.645230441607483e-06,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],6,-0.0002316974770960414,1.378244686368927e-06,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],7,-0.0017516587035946438,3.9084562885072395e-06,0.03642356552976506,0,,
8,[0.06722222 0.06722222 0.22855556],sum,0.001031067804014665,2.557481959992389e-05,0.03642356552976506,1,0.001031067804014665,2.557481959992389e-05
9,[0.075 0.075 0.255],0,0.0012778248949217872,4.475970030846965e-06,0.593121113458728,0,,
9,[0.075 0.075 0.255],1,0.004972774810218122,1.2233345957682211e-05,0.593121113458728,0,,
9,[0.075 0.075 0.255],2,0.002400315286672132,1.4593681863109387e-05,0.593121113458728,0,,
9,[0.075 0.075 0.255],3,-0.0007882313898183197,4.2661865437508235e-06,0.593121113458728,0,,
9,[0.075 0.075 0.255],4,-0.005560042532816295,1.2301941450544714e-05,0.593121113458728,0,,
9,[0.075 0.075 0.255],5,0.0007862086377045189,4.79714826143191e-06,0.593121113458728,0,,
9,[0.075 0.075 0.255],6,-0.0002522234506389534,1.3979995785550573e-06,0.593121113458728,0,,
9,[0.075 0.075 0.255],7,-0.0018259134336545868,4.028310743878996e-06,0.593121113458728,0,,
