idx,soc_value,component_index,mean,sdev,Q,is_sum,sum_mean,sum_sdev
0,[0.005 0.005 0.017],0,0.0002926980234534543,1.2518575261299576e-06,0.22746377429204098,0,,
0,[0.005 0.005 0.017],1,0.0008886088018263363,3.7342239496899644e-06,0.22746377429204098,0,,
0,[0.005 0.005 0.017],2,0.0005684255129918474,3.1592403393633505e-06,0.22746377429204098,0,,
0,[0.005 0.005 0.017],3,-5.826318599265209e-05,7.54831399631332e-07,0.22746377429204098,0,,
0,[0.005 0.005 0.017],4,-0.001023065593427657,3.4592573199773082e-06,0.22746377429204098,0,,
0,[0.005 0.005 0.017],5,0.00018933815021413827,1.0545811229421899e-06,0.22746377429204098,0,,
0,[0.005 0.005 0.017],6,-1.9507745639694318e-05,2.531517905727487e-07,0.22746377429204098,0,,
0,[0.005 0.005 0.017],7,-0.00034093496634120344,1.153262933572375e-06,0.22746377429204098,0,,
0,[0.005 0.005 0.017],sum,0.0004972989970845694,5.635479820645729e-06,0.22746377429204098,1,0.0004972989970845694,5.635479820645729e-06
1,[0.01277778 0.01277778 0.04344444],0,0.0005532384698138966,2.23590841160447e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],1,0.0017234582838245413,6.595105721792553e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],2,0.0010739744656161484,6.629706723622623e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],3,-0.0001490041496336964,1.7745378695032815e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],4,-0.002025765331682442,6.233722182051693e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],5,0.0003579238968001948,2.201926130223093e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],6,-4.9568819298272235e-05,5.911448257232117e-07,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],7,-0.0006746361093286519,2.0774199221173906e-06,0.8133231168071895,0,,
1,[0.01277778 0.01277778 0.04344444],sum,0.0008096207061117185,1.1740648194617296e-05,0.8133231168071895,1,0.0008096207061117185,1.1740648194617296e-05
2,[0.02055556 0.02055556 0.06988889],0,0.0007404016577926689,3.128391993529472e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],1,0.0023714146724601198,9.130614492801362e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],2,0.0014265913881580522,9.822813785807585e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],3,-0.0002434249995068758,2.7069420504339724e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],4,-0.002797757008091431,8.331136219440113e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],5,0.0004748602078245556,3.2151175438192356e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],6,-8.076424968265076e-05,9.036824970687381e-07,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],7,-0.0009320359097544054,2.798533104362131e-06,0.44353955710297077,0,,
2,[0.02055556 0.02055556 0.06988889],sum,0.0009592857592000336,1.760448858038942e-05,0.44353955710297077,1,0.0009592857592000336,1.760448858038942e-05
3,[0.02833333 0.02833333 0.09633333],0,0.0008676725634751212,3.778532147226454e-06,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],1,0.0028652676786661024,1.084210505550295e-05,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],2,0.001670411218396905,1.1297767934684747e-05,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],3,-0.00033072667668240395,3.1259351137971624e-06,0.6451469539053764,0,,
